Mascota,Edad,Tamaño,Sexo,Patron de pelaje,Color de pelaje 1,Color de pelaje 2,Color de pelaje 3,Largo de pelaje,Color de ojos,Largo de hocico,Largo de cola,Largo de orejas,Tipo de orejas
6066,Cachorro,Chico,Macho,Bicolor,Marron,Blanco,,Corto,Marron oscuro,Corto,Mediana,Largas,Caidas
1593,Cachorro,Mediano,Macho,Tricolor,Blanco,Gris,Negro,Mediano,Marron oscuro,Largo,Mediana,Medianas,Paradas
4478,Adulto,Mediano,Macho,,Blanco,,,Mediano,,Mediano,Largo,Medianas,Paradas
4480,Adulto,Chico,Macho,Liso,Marron,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Paradas
4491,,Chico,Macho,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Paradas
6067,Adulto,Grande,,Liso,Negro,,,Mediano,Marron oscuro,Mediano,Mediana,,Caidas
1596,Adulto,Grande,Macho,Bicolor,Blanco,,,Mediano,Celeste,Largo,,,Caidas
4492,,Muy Grande,Macho,Bicolor,,Blanco,,Corto,,,Mediana,Medianas,Caidas
6070,Cachorro,Chico,,Bicolor,,Marron,,Corto,Marron claro,Corto,Largo,Cortas,Caidas
4502,Adulto,,Macho,Bicolor,Negro,,,Corto,Marron oscuro,Mediano,,Medianas,Caidas
6072,Cachorro,Chico,Macho,Liso,Marron,,,,,Corto,Corta,Medianas,Caidas
4512,Adulto,Grande,Hembra,Bicolor,Negro,Marron,,Mediano,Marron oscuro,Largo,Largo,Largas,Paradas
4515,Adulto,Grande,Hembra,,Negro,Marron,,Corto,,Largo,Largo,,Paradas
1640,Adulto,Muy Grande,Macho,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Largo,Largo,Largas,Caidas
4516,Adulto,Chico,Hembra,Bicolor,Negro,Blanco,,Corto,Marron oscuro,Mediano,Mediana,Cortas,Caidas
6073,Adulto,,,Bicolor,Marron,Blanco,,Corto,,Corto,,Medianas,Caidas
4531,Adulto,Chico,Hembra,Liso,,,,,,,Mediana,Cortas,Caidas
1652,Adulto,Grande,Hembra,Tricolor,Gris,,,Largo,Marron oscuro,Largo,Mediana,,Paradas
4535,,Chico,Hembra,Liso,Blanco,,,Largo,Marron oscuro,,,Medianas,Paradas
6075,Adulto,Grande,Macho,Liso,Negro,,,,Marron oscuro,Corto,Largo,,Paradas
4537,Adulto,Grande,Macho,Liso,Negro,,,Corto,,Mediano,Mediana,,Caidas
4539,Adulto,Mediano,Macho,Liso,Dorado,,,,Marron oscuro,Mediano,Mediana,Medianas,
1682,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,,,Caidas
6078,Adulto,Grande,Macho,Bicolor,Marron,Blanco,,Corto,Marron oscuro,,Corta,Largas,
4541,Adulto,Grande,Macho,Bicolor,Negro,Marron,,Corto,Marron oscuro,Mediano,Mediana,Medianas,
4546,,Chico,Macho,,Marron,Blanco,,Corto,Marron oscuro,Mediano,Largo,Medianas,
4547,,Chico,Macho,Bicolor,Marron,Negro,,Largo,Marron oscuro,Mediano,Cortada,,Paradas
1693,Adulto,Mediano,,Liso,Dorado,,,,Marron claro,Mediano,,Largas,Caidas
6079,Adulto,Mediano,Macho,Liso,Marron,,,Corto,Marron claro,Largo,,Largas,Caidas
4551,Adulto,Grande,Hembra,Liso,Marron,,,Corto,Marron oscuro,Corto,Mediana,Medianas,Paradas
1701,,Mediano,Hembra,,Dorado,,,Corto,Marron claro,Mediano,,Medianas,Caidas
1702,,Mediano,,,Blanco,,,Corto,Marron oscuro,Mediano,Mediana,Medianas,
1706,Cachorro,,Macho,Bicolor,,Marron,,Corto,Marron claro,Mediano,Mediana,Medianas,Caidas
1722,Adulto,Grande,Macho,Liso,Blanco,,,Corto,,Mediano,Mediana,Medianas,Caidas
1730,Cachorro,Mediano,Macho,,,,,Corto,Marron claro,Mediano,,Medianas,Caidas
1732,Adulto,Grande,,Bicolor,Marron,Blanco,,Corto,Marron oscuro,,Cortada,Cortada,Paradas
1737,Cachorro,,Hembra,Bicolor,Marron,Blanco,,Corto,,Mediano,Mediana,Medianas,Caidas
1761,Adulto,Mediano,,Bicolor,Negro,Blanco,,,Marron oscuro,Mediano,Largo,,Caidas
1766,Adulto,Grande,Macho,Liso,Blanco,,,Corto,Marron oscuro,Mediano,Mediana,Largas,
1767,Adulto,Grande,Macho,Bicolor,Blanco,,,Mediano,Marron oscuro,,Mediana,Medianas,
1776,Adulto,Chico,Macho,Bicolor,Blanco,,,,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1782,Cachorro,Mediano,Hembra,Tricolor,Marron,,Blanco,Corto,Marron oscuro,Mediano,Mediana,Largas,Caidas
1789,Cachorro,,Macho,Bicolor,,Marron,,Corto,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1800,,Chico,Hembra,Bicolor,Dorado,Blanco,,Corto,Marron claro,Mediano,Corta,Medianas,Caidas
1801,,Chico,,Tricolor,Negro,,Marron,Corto,Marron oscuro,Mediano,Mediana,Medianas,
1807,Adulto,Chico,Macho,Liso,Dorado,,,Largo,Marron oscuro,Mediano,Corta,Medianas,Caidas
1821,Adulto,Grande,Macho,,Negro,,,,Marron oscuro,Mediano,Largo,Largas,Caidas
1837,Adulto,Grande,Macho,Bicolor,,Blanco,,Mediano,Marron oscuro,Mediano,Mediana,Medianas,Caidas
1838,Adulto,Grande,Macho,Liso,Negro,,,Mediano,Marron claro,Mediano,Mediana,Largas,
1849,Adulto,,Hembra,Bicolor,Negro,Dorado,,Largo,Marron oscuro,Mediano,Corta,Largas,Caidas
1851,Adulto,Grande,Hembra,Liso,Marron,,,Corto,,,Mediana,Largas,Caidas
1863,Adulto,Chico,Macho,Bicolor,Blanco,Marron,,Corto,Marron claro,Mediano,Mediana,Largas,Caidas
1872,Adulto,Grande,Macho,Bicolor,Negro,,,Corto,,Mediano,Mediana,Medianas,
1874,Adulto,Grande,,Bicolor,Dorado,Blanco,,Corto,Marron oscuro,,Mediana,Cortas,Caidas
1884,Cachorro,Chico,Macho,Bicolor,Dorado,Negro,,Mediano,Marron oscuro,,Largo,,
1886,,Chico,Macho,Liso,Negro,,,Largo,Marron oscuro,Mediano,Mediana,,Paradas
1902,Cachorro,Mediano,Macho,,,Negro,,Mediano,,Mediano,,Medianas,Paradas
1906,Adulto,Chico,Macho,Liso,Blanco,,,Largo,,Corto,,Cortas,Caidas
1908,Adulto,Chico,Hembra,Tricolor,Dorado,Negro,,Corto,Marron oscuro,Corto,Corta,,Paradas
1910,Adulto,Chico,Macho,Bicolor,,,,Corto,Marron oscuro,,Mediana,Medianas,Caidas
1919,Cachorro,Mediano,Macho,Tricolor,Negro,Blanco,Marron,Largo,Marron oscuro,Corto,Corta,Medianas,Caidas
1940,,Mediano,Macho,Liso,,,,Corto,Marron claro,,,Cortas,Caidas
1950,Adulto,Chico,Hembra,Bicolor,Negro,Marron,,Largo,Marron oscuro,Mediano,,Largas,Caidas
1954,Cachorro,Mediano,Macho,Liso,Blanco,,,Corto,Marron claro,Mediano,Mediana,Medianas,Paradas
